Release Period,State,Facility ID,Completed Surveys,Response Rate (%)
07_2015,AL,"10054",Not Available,Not Available
07_2015,AL,10001,300 or more,27
07_2015,AL,10005,300 or more,37
07_2015,AL,10006,300 or more,25
07_2015,AL,10007,Between 100 and 299,30
07_2015,AL,10008,Fewer than 100,28
07_2015,AL,10011,300 or more,31
07_2015,AL,10012,300 or more,33
07_2015,AL,10016,300 or more,27
07_2015,AL,10018,Fewer than 100,45
07_2015,AL,10019,300 or more,26
07_2015,AL,10021,Between 100 and 299,30
07_2015,AL,10022,Fewer than 100,34
07_2015,AL,10023,300 or more,30
07_2015,AL,10024,300 or more,28
07_2015,AL,10029,300 or more,29
07_2015,AL,10032,Between 100 and 299,38
07_2015,AL,10033,300 or more,25
07_2015,AL,10034,300 or more,34
07_2015,AL,10035,300 or more,37
07_2015,AL,10036,300 or more,28
07_2015,AL,10038,300 or more,24
07_2015,AL,10039,300 or more,28
07_2015,AL,10040,300 or more,31
07_2015,AL,10044,Fewer than 100,26
07_2015,AL,10045,Between 100 and 299,31
07_2015,AL,10046,300 or more,24
07_2015,AL,10047,Between 100 and 299,33
07_2015,AL,10049,300 or more,29
07_2015,AL,10051,Fewer than 100,22
07_2015,AL,10052,Between 100 and 299,31
07_2015,AL,10055,300 or more,37
07_2015,AL,10056,300 or more,33
07_2015,AL,10058,Fewer than 100,22
07_2015,AL,10059,Between 100 and 299,24
07_2015,AL,10061,300 or more,33
07_2015,AL,10062,Between 100 and 299,31
07_2015,AL,10065,300 or more,37
07_2015,AL,10069,Between 100 and 299,31
07_2015,AL,10073,Between 100 and 299,41
07_2015,AL,10078,300 or more,33
07_2015,AL,10079,300 or more,26
07_2015,AL,10083,300 or more,34
07_2015,AL,10085,300 or more,26
07_2015,AL,10086,Between 100 and 299,30
07_2015,AL,10087,300 or more,28
07_2015,AL,10089,300 or more,27
07_2015,AL,10090,300 or more,31
07_2015,AL,10091,Between 100 and 299,22
07_2015,AL,10092,300 or more,20
07_2015,AL,10095,Fewer than 100,31
07_2015,AL,10097,Between 100 and 299,33
07_2015,AL,10099,Between 100 and 299,26
07_2015,AL,10100,300 or more,42
07_2015,AL,10101,300 or more,25
07_2015,AL,10102,Fewer than 100,28
07_2015,AL,10103,300 or more,30
07_2015,AL,10104,300 or more,32
07_2015,AL,10108,300 or more,32
07_2015,AL,10109,Fewer than 100,17
07_2015,AL,10110,Fewer than 100,24
07_2015,AL,10112,Between 100 and 299,31
07_2015,AL,10113,300 or more,36
07_2015,AL,10114,300 or more,26
07_2015,AL,10118,300 or more,26
07_2015,AL,10120,Between 100 and 299,25
07_2015,AL,10125,Between 100 and 299,32
07_2015,AL,10126,Between 100 and 299,27
07_2015,AL,10128,Fewer than 100,27
07_2015,AL,10129,300 or more,31
07_2015,AL,10130,300 or more,36
07_2015,AL,10131,300 or more,36
