Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage
07_2015,AK,H_CLEAN_HSP,8,22,70
07_2015,AK,H_COMP_1,9,17,74
07_2015,AK,H_COMP_2,10,15,75
07_2015,AK,H_COMP_3,11,21,68
07_2015,AK,H_COMP_5,19,17,64
07_2015,AK,H_COMP_6,15,0,85
07_2015,AK,H_COMP_7,8,43,49
07_2015,AK,H_HSP_RATING,13,22,65
07_2015,AK,H_QUIET_HSP,8,34,58
07_2015,AK,H_RECMND,7,23,70
07_2015,AL,H_CLEAN_HSP,10,18,72
07_2015,AL,H_COMP_1,5,14,81
07_2015,AL,H_COMP_2,3,11,86
07_2015,AL,H_COMP_3,10,21,69
07_2015,AL,H_COMP_5,17,16,67
07_2015,AL,H_COMP_6,15,0,85
07_2015,AL,H_COMP_7,6,41,53
07_2015,AL,H_HSP_RATING,7,20,73
07_2015,AL,H_QUIET_HSP,6,23,71
07_2015,AL,H_RECMND,5,24,71
07_2015,AR,H_CLEAN_HSP,8,18,74
07_2015,AR,H_COMP_1,5,15,80
07_2015,AR,H_COMP_2,4,12,84
07_2015,AR,H_COMP_3,9,22,69
07_2015,AR,H_COMP_5,18,17,65
07_2015,AR,H_COMP_6,17,0,83
07_2015,AR,H_COMP_7,6,44,50
07_2015,AR,H_HSP_RATING,8,22,70
07_2015,AR,H_QUIET_HSP,7,26,67
07_2015,AR,H_RECMND,5,27,68
07_2015,AZ,H_CLEAN_HSP,10,20,70
07_2015,AZ,H_COMP_1,5,18,77
07_2015,AZ,H_COMP_2,5,17,78
07_2015,AZ,H_COMP_3,9,25,66
07_2015,AZ,H_COMP_5,18,18,64
07_2015,AZ,H_COMP_6,13,0,87
07_2015,AZ,H_COMP_7,6,44,50
07_2015,AZ,H_HSP_RATING,8,22,70
07_2015,AZ,H_QUIET_HSP,11,31,58
07_2015,AZ,H_RECMND,6,24,70
07_2015,CA,H_CLEAN_HSP,10,20,70
07_2015,CA,H_COMP_1,6,19,75
