
TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,COMMENT
DEV_SOURCE,DW_REPORT,DW_CLAIM_POLICY_HISTORY,BUSN_SEQ_NO,1,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,
DEV_SOURCE,DW_REPORT,DW_CLAIM_POLICY_HISTORY,BWC_DW_EXTRACT_TS,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,
DEV_SOURCE,DW_REPORT,DW_CLAIM_POLICY_HISTORY,BWC_DW_LOAD_KEY,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,
DEV_SOURCE,DW_REPORT,DW_CLAIM_POLICY_HISTORY,CLM_AGRE_ID,4,,YES,NUMBER,,,31,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,
DEV_SOURCE,DW_REPORT,DW_CLAIM_POLICY_HISTORY,CLM_NO,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,
DEV_SOURCE,DW_REPORT,DW_CLAIM_POLICY_HISTORY,CLM_OCCR_DATE,6,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,
DEV_SOURCE,DW_REPORT,DW_CLAIM_POLICY_HISTORY,CLM_OCCR_DTM,7,,YES,TIMESTAMP_NTZ,,,,,,9,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,
DEV_SOURCE,DW_REPORT,DW_CLAIM_POLICY_HISTORY,CLM_PLCY_RLTNS_EFF_DATE,8,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,
DEV_SOURCE,DW_REPORT,DW_CLAIM_POLICY_HISTORY,CLM_PLCY_RLTNS_EFF_DT,9,,YES,TIMESTAMP_NTZ,,,,,,9,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,
DEV_SOURCE,DW_REPORT,DW_CLAIM_POLICY_HISTORY,CLM_PLCY_RLTNS_END_DATE,10,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,
