SURVEY_NAME,QUESTION_ID,QUESTION_TXT,ANSWER_TXT,NUM_RESPONSES,TOTAL_RESPONSES
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148537,What is your relationship to the employer that went through the premium audit or rating inspection process?,CPA/Accounting firm,520,3969
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148537,What is your relationship to the employer that went through the premium audit or rating inspection process?,Employee of company,2749,3969
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148537,What is your relationship to the employer that went through the premium audit or rating inspection process?,None,634,3969
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148537,What is your relationship to the employer that went through the premium audit or rating inspection process?,Third Party Administrator,66,3969
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148539,"Approximately how much time did the audit or rating inspection take, including phone calls, emails, and gathering and sending information?",Five to six hours,191,3971
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148539,"Approximately how much time did the audit or rating inspection take, including phone calls, emails, and gathering and sending information?",Less than one hour,1079,3971
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148539,"Approximately how much time did the audit or rating inspection take, including phone calls, emails, and gathering and sending information?",One and a half days,65,3971
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148539,"Approximately how much time did the audit or rating inspection take, including phone calls, emails, and gathering and sending information?",One to two hours,1639,3971
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148539,"Approximately how much time did the audit or rating inspection take, including phone calls, emails, and gathering and sending information?",Seven to eight hours,108,3971
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148539,"Approximately how much time did the audit or rating inspection take, including phone calls, emails, and gathering and sending information?",Three to four hours,762,3971
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148539,"Approximately how much time did the audit or rating inspection take, including phone calls, emails, and gathering and sending information?",Two days or more,127,3971
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148542,"How would you rate the audit or rating inspection notification process, including the letter, telephone call or email contacts, and anything else that you recall from the initial contact?",Excellent,2736,3966
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148542,"How would you rate the audit or rating inspection notification process, including the letter, telephone call or email contacts, and anything else that you recall from the initial contact?",Good,1056,3966
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148542,"How would you rate the audit or rating inspection notification process, including the letter, telephone call or email contacts, and anything else that you recall from the initial contact?",Neutral,137,3966
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148542,"How would you rate the audit or rating inspection notification process, including the letter, telephone call or email contacts, and anything else that you recall from the initial contact?",Poor,29,3966
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148542,"How would you rate the audit or rating inspection notification process, including the letter, telephone call or email contacts, and anything else that you recall from the initial contact?",Very Poor,8,3966
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148543,How would you rate the premium audit or rating inspection as far as gaining an understanding of classification codes and payroll reporting?,Excellent,2565,3972
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148543,How would you rate the premium audit or rating inspection as far as gaining an understanding of classification codes and payroll reporting?,Good,1095,3972
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148543,How would you rate the premium audit or rating inspection as far as gaining an understanding of classification codes and payroll reporting?,Neutral,273,3972
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148543,How would you rate the premium audit or rating inspection as far as gaining an understanding of classification codes and payroll reporting?,Poor,27,3972
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148543,How would you rate the premium audit or rating inspection as far as gaining an understanding of classification codes and payroll reporting?,Very Poor,12,3972
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148544,Did the auditor explain the results of the audit or rating inspection?,No,226,3952
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148544,Did the auditor explain the results of the audit or rating inspection?,Yes,3726,3952
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148545,Did you receive written instructions and/or a Schedule of Findings from the auditor?,No,395,3937
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148545,Did you receive written instructions and/or a Schedule of Findings from the auditor?,Yes,3542,3937
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148546,"How would you rate the manner in which your questions have been answered regarding the findings, classification, reporting instructions or anything else?",Excellent,2868,3951
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148546,"How would you rate the manner in which your questions have been answered regarding the findings, classification, reporting instructions or anything else?",Good,818,3951
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148546,"How would you rate the manner in which your questions have been answered regarding the findings, classification, reporting instructions or anything else?",Neutral,232,3951
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148546,"How would you rate the manner in which your questions have been answered regarding the findings, classification, reporting instructions or anything else?",Poor,16,3951
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148546,"How would you rate the manner in which your questions have been answered regarding the findings, classification, reporting instructions or anything else?",Very Poor,17,3951
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148547,How satisfied are you with the amount of time it took to complete your premium audit or rating inspection?,Neutral,184,3959
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148547,How satisfied are you with the amount of time it took to complete your premium audit or rating inspection?,Satisfied,957,3959
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148547,How satisfied are you with the amount of time it took to complete your premium audit or rating inspection?,Unsatisfied,28,3959
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148547,How satisfied are you with the amount of time it took to complete your premium audit or rating inspection?,Very Satisfied,2776,3959
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148547,How satisfied are you with the amount of time it took to complete your premium audit or rating inspection?,Very Unsatisfied,14,3959
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148548,"Professionalism of auditor's knowledge, competency, timeliness, courtesy:",Excellent,3396,3961
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148548,"Professionalism of auditor's knowledge, competency, timeliness, courtesy:",Good,470,3961
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148548,"Professionalism of auditor's knowledge, competency, timeliness, courtesy:",Neutral,80,3961
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148548,"Professionalism of auditor's knowledge, competency, timeliness, courtesy:",Poor,9,3961
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148548,"Professionalism of auditor's knowledge, competency, timeliness, courtesy:",Very Poor,6,3961
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148549,Responsiveness (promptness to inquiries and satisfactorily answering your questions):,Excellent,3258,3953
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148549,Responsiveness (promptness to inquiries and satisfactorily answering your questions):,Good,562,3953
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148549,Responsiveness (promptness to inquiries and satisfactorily answering your questions):,Neutral,107,3953
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148549,Responsiveness (promptness to inquiries and satisfactorily answering your questions):,Poor,14,3953
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148549,Responsiveness (promptness to inquiries and satisfactorily answering your questions):,Very Poor,12,3953
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148550,"Communications skills (understandable, and level of detail provided):",Excellent,3300,3955
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148550,"Communications skills (understandable, and level of detail provided):",Good,554,3955
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148550,"Communications skills (understandable, and level of detail provided):",Neutral,75,3955
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148550,"Communications skills (understandable, and level of detail provided):",Poor,16,3955
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148550,"Communications skills (understandable, and level of detail provided):",Very Poor,10,3955
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.," Pam was very professional and did her work quickly.  She showed me what she did and how she made her determination.  She was very easy to work with.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.," The auditor was very thorough and did a great job.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,#4- unanswered because I did not need assistance with that subject matter. ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,A,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,AUDITS ARE NOT INHERENTLY FUN.  BUT THIS WAS ABOUT AS REASONABLE AN EXPERIENCE AS ANYONE COULD ASK FOR.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,All is well,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,All questions were answered promptly with great explanations that I understood.,1,314
