SURVEY_ID,QUESTION_ID,ANSWER_ID,ANSWER_TXT
112758772,78718260,614283631,"N/A"
112758772,78718260,614281063,"Very satisfied"
112758772,78718260,614281064,"Satisfied"
112758772,78718260,614281065,"Neutral"
112758772,78718260,614281066,"Dissatisfied"
112758772,78718260,614281067,"Very dissatisfied"
112758772,78719914,614286524,"N/A"
112758772,78719914,614285594,"Very satisfied"
112758772,78719914,614285595,"Satisfied"
112758772,78719914,614285596,"Neutral"
112758772,78719914,614285597,"Dissatisfied"
112758772,78719914,614285598,"Very Dissatisfied"
112758772,78720606,614292321,"N/A"
112758772,78720606,614290052,"Very satisfied"
112758772,78720606,614292317,"Satisfied"
112758772,78720606,614292318,"Neutral"
112758772,78720606,614292319,"Dissatisfied"
112758772,78720606,614292320,"Very dissatisfied"
112758772,78721266,614294435,"N/A"
112758772,78721266,614294430,"Very satisfied"
112758772,78721266,614294431,"Satisfied"
112758772,78721266,614294432,"Neutral"
112758772,78721266,614294433,"Dissatisfied"
112758772,78721266,614294434,"Very dissatisfied"
112758772,78721744,614298265,"N/A"
112758772,78721744,614298260,"Very satisfied"
112758772,78721744,614298261,"Satisfied"
112758772,78721744,614298262,"Neutral"
112758772,78721744,614298263,"Dissatisfied"
112758772,78721744,614298264,"Very dissatisfied"
112758772,78721928,614299379,"N/A"
112758772,78721928,614299374,"Very satisfied"
112758772,78721928,614299375,"Satisfied"
112758772,78721928,614299376,"Neutral"
112758772,78721928,614299377,"Dissatisfied"
112758772,78721928,614299378,"Very dissatisfied"
112758772,78722569,614303088,"N/A"
112758772,78722569,614303083,"Strongly agree"
112758772,78722569,614303084,"Agree"
112758772,78722569,614303085,"Neutral"
112758772,78722569,614303086,"Disagree"
112758772,78722569,614303087,"Strongly disagree"
112758772,78722056,614300267,"N/A"
112758772,78722056,614300262,"Very satisfied"
112758772,78722056,614300263,"Satisfied"
112758772,78722056,614300264,"Neutral"
112758772,78722056,614300265,"Dissatisfied"
112758772,78722056,614300266,"Very dissatisfied"
