SURVEY_ID,QUESTION_ID,ANSWER_ID,ANSWER_TXT
401765993,76376760,609307276,"N/A"
401765993,76376760,609307270,"Very satisfied"
401765993,76376760,609307271,"Satisfied"
401765993,76376760,609307272,"Neutral"
401765993,76376760,609307273,"Dissatisfied"
401765993,76376760,609307274,"Very dissatisfied"
401765993,76376761,609307283,"N/A"
401765993,76376761,609307278,"Very satisfied"
401765993,76376761,609307279,"Satisfied"
401765993,76376761,609307280,"Neutral"
401765993,76376761,609307281,"Dissatisfied"
401765993,76376761,609307282,"Very Dissatisfied"
401765993,76376762,609307290,"N/A"
401765993,76376762,609307285,"Very satisfied"
401765993,76376762,609307286,"Satisfied"
401765993,76376762,609307287,"Neutral"
401765993,76376762,609307288,"Dissatisfied"
401765993,76376762,609307289,"Very dissatisfied"
401765993,76376763,609307297,"N/A"
401765993,76376763,609307292,"Very satisfied"
401765993,76376763,609307293,"Satisfied"
401765993,76376763,609307294,"Neutral"
401765993,76376763,609307295,"Dissatisfied"
401765993,76376763,609307296,"Very dissatisfied"
401765993,76376764,609307304,"N/A"
401765993,76376764,609307299,"Very satisfied"
401765993,76376764,609307300,"Satisfied"
401765993,76376764,609307301,"Neutral"
401765993,76376764,609307302,"Dissatisfied"
401765993,76376764,609307303,"Very dissatisfied"
401765993,76376765,609307311,"N/A"
401765993,76376765,609307306,"Very satisfied"
401765993,76376765,609307307,"Satisfied"
401765993,76376765,609307308,"Neutral"
401765993,76376765,609307309,"Dissatisfied"
401765993,76376765,609307310,"Very dissatisfied"
401765993,76376767,609307325,"N/A"
401765993,76376767,609307320,"Strongly agree"
401765993,76376767,609307321,"Agree"
401765993,76376767,609307322,"Neutral"
401765993,76376767,609307323,"Disagree"
401765993,76376767,609307324,"Strongly disagree"
401765993,76376766,609307318,"N/A"
401765993,76376766,609307313,"Very satisfied"
401765993,76376766,609307314,"Satisfied"
401765993,76376766,609307315,"Neutral"
401765993,76376766,609307316,"Dissatisfied"
401765993,76376766,609307317,"Very dissatisfied"
