SURVEY_ID,QUESTION_ID,ANSWER_ID,ANSWER_TXT
312123669,707505142,4729366328,"I am the injured worker."
312123669,707505142,4729366329,"I am the employer, or I work for an employer."
312123669,707505142,4729366330,"I work for a medical provider treating an injured worker."
312123669,707505142,4729366331,"I work for the managed care organization."
312123669,707505142,4729366332,"I am an authorized representative for an employer or injured worker."
312123669,707505142,4653415151,"Other (please specify)"
312123669,707510446,4653381653,"Strongly agree"
312123669,707510446,4653381654,"Agree"
312123669,707510446,4653381655,"Neither agree or disagree"
312123669,707510446,4653381656,"Disagree"
312123669,707510446,4653381657,"Strongly disagree"
312123669,707510446,4653451806,"N/A"
312123669,707510446,4653381658,"If you had any issues with the application please tell us what the issues are."
